City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,freetown,8.484,-13.2299,26.93,80,99,2.76,SL,1684609392
1,puerto natales,-51.7236,-72.4875,10.25,57,40,5.14,CL,1684609293
2,port-aux-francais,-49.35,70.2167,4.04,65,93,8.18,TF,1684609280
3,east london,-33.0153,27.9116,13.52,76,0,2.06,ZA,1684609313
4,albany,42.6001,-73.9662,19.46,81,100,1.34,US,1684609180
5,enewetak,11.3474,162.3373,27.78,81,100,6.76,MH,1684609292
6,pangkalanbuun,-2.6833,111.6167,23.78,96,100,0.85,ID,1684609516
7,adamstown,-25.066,-130.1015,24.38,82,34,8.28,PN,1684609290
8,waitangi,-43.9535,-176.5597,14.34,96,78,1.79,NZ,1684609276
9,stanley,54.868,-1.6985,14.88,62,0,2.06,GB,1684609295
10,kodiak,57.79,-152.4072,6.73,81,100,10.8,US,1684609291
11,olonkinbyen,70.9221,-8.7187,2.06,83,96,9.46,SJ,1684609279
12,anadyr,64.75,177.4833,-0.72,92,0,2.0,RU,1684609317
13,st. john's,47.5649,-52.7093,14.66,63,100,12.35,CA,1684609172
14,bethel,41.3712,-73.414,17.98,90,100,2.06,US,1684609278
15,prince rupert,54.3161,-130.3201,11.05,94,100,4.63,CA,1684609352
16,avarua,-21.2078,-159.775,22.03,88,100,0.51,CK,1684609305
17,sam roi yot,12.2708,99.872,26.58,73,97,1.62,TH,1684609518
18,tashtagol,52.7657,87.8894,4.72,63,20,1.65,RU,1684609518
19,basco,20.4487,121.9702,28.14,79,4,1.86,PH,1684609518
20,novaya tavolzhanka,50.3512,36.8298,15.68,74,15,4.71,RU,1684609518
21,pucheng,27.9233,118.5333,20.73,99,100,0.69,CN,1684609518
22,yuzhno-kurilsk,44.0306,145.8556,5.19,93,100,4.39,RU,1684609287
23,sitia,35.2,26.0986,21.66,72,100,2.38,GR,1684609519
24,nar'yan-mar,67.6713,53.087,5.77,62,100,3.12,RU,1684609294
25,alaghsas,17.0187,8.0168,40.94,16,5,4.12,NE,1684609519
26,tyukhtet,56.5389,89.3011,8.19,56,6,2.1,RU,1684609519
27,opuwo,-18.0607,13.84,17.79,24,0,2.17,NA,1684609375
28,klyuchi,52.2667,79.1667,11.79,43,1,3.23,RU,1684609292
29,sisimiut,66.9395,-53.6735,-0.07,76,82,5.03,GL,1684609318
30,luganville,-15.5333,167.1667,26.08,89,76,4.67,VU,1684609386
31,burela de cabo,43.65,-7.4,15.1,82,10,6.0,ES,1684609520
32,al jaradiyah,16.5795,42.9124,32.72,56,58,4.97,SA,1684609520
33,ribeira grande,38.5167,-28.7,20.22,68,20,6.69,PT,1684609297
34,edinburgh of the seven seas,-37.0676,-12.3116,17.02,96,56,5.29,SH,1684609279
35,spratzern,48.1704,15.6184,18.25,90,100,2.19,AT,1684609520
36,grytviken,-54.2811,-36.5092,0.73,98,100,1.75,GS,1684609281
37,dudinka,69.4058,86.1778,-9.8,95,62,1.05,RU,1684609298
38,rongelap,11.1635,166.8941,27.47,82,98,5.94,MH,1684609398
39,north bend,43.4065,-124.2243,17.36,100,100,6.17,US,1684609341
40,hanover,52.3705,9.7332,17.26,77,100,3.6,DE,1684609357
41,tekkali,18.6167,84.2333,27.78,78,0,2.86,IN,1684609521
42,kourou,5.1552,-52.6478,29.03,87,100,4.36,GF,1684609521
43,toliara,-23.35,43.6667,23.31,84,13,3.54,MG,1684609522
44,qaqortoq,60.7167,-46.0333,0.59,99,100,4.82,GL,1684609285
45,nemuro,43.3236,145.575,5.43,93,100,4.88,JP,1684609313
46,daru,-9.0763,143.2092,24.91,85,95,3.24,PG,1684609295
47,ilulissat,69.2167,-51.1,-0.99,86,75,6.17,GL,1684609316
48,westport,41.1415,-73.3579,19.3,91,100,0.45,US,1684609375
49,longyearbyen,78.2186,15.6401,3.91,75,75,2.06,SJ,1684609290
50,isafjordur,66.0755,-23.124,6.02,61,100,11.32,IS,1684609295
51,ushuaia,-54.8,-68.3,7.81,61,40,5.66,AR,1684609280
52,retreat,38.8245,-85.8533,20.97,57,0,2.68,US,1684609523
53,labrador city,52.9463,-66.9114,10.95,43,75,8.23,CA,1684609209
54,georgetown,5.4112,100.3354,27.97,78,40,2.24,MY,1684609219
55,college,64.8569,-147.8028,20.82,48,100,1.34,US,1684609311
56,tual,-5.6667,132.75,27.1,78,100,6.31,ID,1684609383
57,ruiz,21.95,-105.15,35.73,28,100,2.65,MX,1684609524
58,invercargill,-46.4,168.35,6.84,76,76,0.86,NZ,1684609294
59,ibipeba,-11.6408,-42.0111,29.23,26,0,2.7,BR,1684609524
60,pisco,-13.7,-76.2167,23.03,68,75,7.2,PE,1684609314
61,ust-nera,64.5667,143.2,2.32,79,98,2.28,RU,1684609294
62,egilsstadir,65.2653,-14.3948,11.95,40,40,11.32,IS,1684609354
63,puerto ayora,-0.7393,-90.3518,30.98,88,94,4.47,EC,1684609317
64,berkane,34.9084,-2.3461,21.82,50,94,3.98,MA,1684609525
65,lihue,21.9789,-159.3672,26.58,81,52,1.95,US,1684609227
66,infantes,38.7367,-3.0122,15.56,40,100,3.91,ES,1684609525
67,mugia,43.1041,-9.2179,17.31,78,2,10.85,ES,1684609526
68,brisas de zicatela,15.8369,-97.0419,31.81,59,100,3.35,MX,1684609318
69,hawaiian paradise park,19.5933,-154.9731,26.13,87,75,2.06,US,1684609289
70,vadso,70.0744,29.7487,15.49,66,100,3.09,NO,1684609355
71,gadzhiyevo,69.2551,33.3362,10.57,68,100,1.35,RU,1684609313
72,howard springs,-12.497,131.047,18.95,41,6,4.07,AU,1684609527
73,hithadhoo,-0.6,73.0833,28.42,70,14,1.71,MV,1684609305
74,west island,-12.1568,96.8225,25.99,89,40,4.12,CC,1684609298
75,cidreira,-30.1811,-50.2056,22.28,62,96,2.56,BR,1684609319
76,kani keli,-12.9536,45.1033,26.59,78,64,2.98,YT,1684609528
77,usogorsk,63.4106,48.6872,9.86,58,9,1.77,RU,1684609403
78,saipan,15.1355,145.701,26.47,100,100,1.79,MP,1684609285
79,ujae,8.9322,165.7642,28.17,81,100,6.49,MH,1684609528
80,naracoorte,-36.9579,140.7383,11.54,84,36,5.11,AU,1684609529
81,langzhong,31.5504,105.9938,21.38,81,100,1.75,CN,1684609529
82,tura,25.5198,90.2201,22.29,82,0,2.2,IN,1684609397
83,puerto baquerizo moreno,-0.9,-89.6,25.55,89,100,6.17,EC,1684609278
84,sitka,57.0531,-135.33,11.0,86,100,1.85,US,1684609318
85,bich'vinta,43.1592,40.3378,15.1,91,100,3.66,GE,1684609529
86,troitskiy,57.0603,63.7481,12.81,47,82,0.56,RU,1684609530
87,iqaluit,63.7506,-68.5145,-2.15,63,75,4.63,CA,1684609284
88,huntsville,34.7304,-86.5861,23.32,89,100,3.13,US,1684609247
89,lebu,-37.6167,-73.65,12.78,66,100,6.2,CL,1684609330
90,shimoda,34.6667,138.95,16.72,90,97,2.76,JP,1684609280
91,haiku-pauwela,20.9219,-156.3051,26.76,65,11,0.89,US,1684609334
92,al ghayzah,16.2079,52.176,30.34,69,100,5.0,YE,1684609530
93,wailua homesteads,22.0669,-159.378,26.24,80,53,0.45,US,1684609317
94,atafu village,-8.5421,-172.5159,29.13,75,15,7.76,TK,1684609365
95,port mathurin,-19.6833,63.4167,25.18,74,15,2.23,MU,1684609271
96,puerto deseado,-47.7503,-65.8938,10.27,53,100,14.12,AR,1684609531
97,mawu,29.5923,107.3139,18.88,94,76,1.46,CN,1684609531
98,bredasdorp,-34.5322,20.0403,15.8,71,100,4.63,ZA,1684609245
99,mosjoen,65.836,13.1908,12.29,58,100,1.03,NO,1684609274
100,jaisalmer,26.9147,70.9181,33.18,29,0,10.7,IN,1684609531
101,cabedelo,-6.9811,-34.8339,28.37,80,43,3.76,BR,1684609232
102,afaahiti,-17.75,-149.2833,27.93,82,25,3.44,PF,1684609365
103,dwarka,22.2394,68.9678,27.94,80,1,5.46,IN,1684608949
104,sao jose da coroa grande,-8.8978,-35.1478,25.27,90,84,4.94,BR,1684609278
105,masterton,-40.9597,175.6575,11.05,96,100,3.29,NZ,1684609531
106,abashiri,44.0213,144.2697,6.86,87,100,6.02,JP,1684609532
107,parabel',58.6978,81.4825,12.12,58,64,1.01,RU,1684609532
108,ta`u,-14.2336,-169.5144,28.18,80,99,6.76,AS,1684609352
109,port de pollenca,39.9075,3.0814,20.02,67,10,4.79,ES,1684609532
110,anapa,44.8908,37.3239,18.19,63,0,5.0,RU,1684609532
111,carbonear,47.7332,-53.2148,14.91,63,100,9.28,CA,1684609532
112,feijo,-8.1642,-70.3536,30.44,68,24,0.57,BR,1684609532
113,punta arenas,-53.15,-70.9167,6.06,75,0,4.63,CL,1684609338
114,tobelo,1.7284,128.0095,26.37,80,100,1.06,ID,1684609352
115,polyarnyy,69.1989,33.4478,10.59,71,100,1.67,RU,1684609391
116,flying fish cove,-10.4217,105.6791,25.82,83,75,4.12,CX,1684609292
117,margate,51.3813,1.3862,13.83,77,100,4.47,GB,1684609396
118,parres,43.35,-5.15,15.29,87,36,2.08,ES,1684609533
119,murzuq,25.9155,13.9184,29.49,14,6,7.28,LY,1684609533
120,kalmunai,7.4167,81.8167,26.66,84,25,3.94,LK,1684609314
121,nezlobnaya,44.1181,43.4028,17.08,62,100,5.2,RU,1684609533
122,margaret river,-33.95,115.0667,11.69,70,92,4.64,AU,1684609291
123,la junta,37.985,-103.5438,23.43,42,0,3.09,US,1684609533
124,hermanus,-34.4187,19.2345,16.56,79,100,6.88,ZA,1684609305
125,tchintabaraden,15.8969,5.7985,36.44,12,67,3.4,NE,1684609533
126,tiksi,71.6872,128.8694,-11.43,94,100,3.14,RU,1684609279
127,velikiye luki,56.34,30.5452,10.29,69,100,2.51,RU,1684609533
128,kogalym,62.2654,74.4791,12.01,73,7,4.98,RU,1684609533
129,sao gabriel da cachoeira,-0.1303,-67.0892,29.89,84,40,6.17,BR,1684609365
130,youkaichi,35.1163,136.1977,18.46,88,81,0.38,JP,1684609534
131,blackmans bay,-43.0167,147.3167,7.07,80,53,7.1,AU,1684609281
132,bodaybo,57.8506,114.1933,6.92,76,99,1.72,RU,1684609534
133,fale old settlement,-9.3852,-171.2468,28.45,78,16,6.5,TK,1684609297
134,dzhalil',55.0239,52.7358,12.03,61,10,1.93,RU,1684609534
135,bilibino,68.0546,166.4372,3.35,88,30,1.47,RU,1684609284
136,durango,24.8333,-104.8333,13.57,75,100,1.7,MX,1684609492
137,al jawf,29.5,38.75,22.46,21,0,3.34,SA,1684609534
138,vilyuchinsk,52.9306,158.4028,0.15,100,100,0.44,RU,1684609305
139,vorgashor,67.5833,63.95,-1.26,89,100,1.73,RU,1684609296
140,oyo,7.85,3.9333,26.43,80,100,4.81,NG,1684609534
141,flin flon,54.7682,-101.865,11.91,58,75,4.63,CA,1684609534
142,kailua-kona,19.6406,-155.9956,29.04,72,20,3.09,US,1684609173
143,callao,-12.0667,-77.15,24.16,64,100,3.09,PE,1684609372
144,yellowknife,62.456,-114.3525,7.29,42,75,6.71,CA,1684609276
145,sandnessjoen,66.0217,12.6316,11.96,72,100,0.89,NO,1684609396
146,badger,64.8,-147.5333,20.77,41,100,4.12,US,1684609289
147,leh,34.1667,77.5833,7.17,39,0,2.0,IN,1684609314
148,waingapu,-9.6567,120.2641,23.12,81,100,4.05,ID,1684609535
149,iskateley,67.6803,53.1512,5.62,63,100,3.14,RU,1684609338
150,kiomboi,-4.2667,34.3667,19.34,50,98,2.27,TZ,1684609535
151,poronaysk,49.2167,143.1167,4.65,96,100,3.14,RU,1684609389
152,itoman,26.1247,127.6694,23.01,78,100,2.06,JP,1684609319
153,luderitz,-26.6481,15.1594,13.62,65,0,6.24,NA,1684609390
154,mandalgovi,45.7625,106.2708,0.33,81,66,7.16,MN,1684609536
155,heihe,50.2441,127.4902,8.32,81,100,5.37,CN,1684609536
156,kapa'a,22.0752,-159.319,26.99,80,53,0.45,US,1684609259
157,przysucha,51.3586,20.6289,17.81,91,23,3.64,PL,1684609536
158,lompoc,34.6391,-120.4579,24.32,77,20,4.12,US,1684609303
159,igarka,67.4667,86.5833,-1.34,88,31,3.35,RU,1684609318
160,monrovia,6.3005,-10.7969,26.87,78,100,4.48,LR,1684609536
161,bridgewater,44.3835,-64.5155,19.5,71,100,10.8,CA,1684609400
162,manhattan,40.7834,-73.9662,18.56,93,100,4.02,US,1684609408
163,dumka,24.2667,87.25,31.28,28,5,1.12,IN,1684609536
164,chinde,26.8418,88.0763,16.76,71,72,2.81,NP,1684609337
165,codrington,-38.2667,141.9667,13.01,73,99,9.77,AU,1684609312
166,udachny,66.4167,112.4,1.36,92,100,6.79,RU,1684609374
167,kosice,48.6667,21.3333,20.27,60,0,3.09,SK,1684609308
168,susuman,62.7833,148.1667,0.56,94,100,3.6,RU,1684609329
169,san juan de miraflores,-12.1629,-76.9635,23.29,74,29,4.18,PE,1684609537
170,marsabit,2.3284,37.9899,21.8,47,3,3.91,KE,1684609537
171,bamboo flat,11.7,92.7167,28.05,83,40,0.51,IN,1684609537
172,spisska nova ves,48.9446,20.5615,16.55,92,12,2.03,SK,1684609537
173,serowe,-22.3833,26.7167,14.95,67,0,1.76,BW,1684609312
174,hadibu,12.65,54.0333,29.58,73,18,4.33,YE,1684609321
175,coquimbo,-29.9533,-71.3436,15.85,82,100,2.06,CL,1684609110
176,thompson,55.7435,-97.8558,8.09,49,20,6.17,CA,1684609298
177,tazacorte,28.629,-17.9293,20.54,78,75,3.6,ES,1684609538
178,senillosa,-39.0,-68.4167,16.88,26,1,6.36,AR,1684609538
179,buenaventura,3.8801,-77.0312,25.98,93,100,1.7,CO,1684609330
180,hamilton,39.1834,-84.5333,22.34,54,14,2.68,US,1684609316
181,utrik,11.2278,169.8474,27.52,83,55,5.66,MH,1684609352
182,as sulayyil,20.4607,45.5779,28.14,24,100,7.56,SA,1684609538
183,sarupathar,26.1984,93.8094,21.54,95,5,0.9,IN,1684609343
184,gorontalo,0.5412,123.0595,23.77,95,100,1.23,ID,1684609315
185,flers,48.7372,-0.5747,13.14,88,65,4.35,FR,1684609538
186,vallegrande,-18.4897,-64.1069,19.12,75,84,2.15,BO,1684609538
187,papatowai,-46.5619,169.4708,7.01,81,57,2.86,NZ,1684609313
188,acajutla,13.5928,-89.8275,32.64,46,100,3.85,SV,1684609538
189,new norfolk,-42.7826,147.0587,7.72,72,44,0.89,AU,1684609320
190,damara,4.9608,18.7035,27.38,51,85,1.35,CF,1684609539
191,touros,-5.1989,-35.4608,27.96,77,74,5.27,BR,1684609384
192,portland,45.5234,-122.6762,25.06,61,75,2.57,US,1684608802
193,merizo village,13.2658,144.6691,26.99,94,93,5.13,GU,1684609539
194,rawson,-43.3002,-65.1023,14.02,24,90,15.93,AR,1684609539
195,xining,36.6167,101.7667,3.88,97,100,2.56,CN,1684609539
196,trincomalee,8.5711,81.2335,26.66,84,72,4.42,LK,1684609388
197,xai-xai,-25.0519,33.6442,19.38,80,0,2.26,MZ,1684609395
198,okhotsk,59.3833,143.3,0.79,97,100,3.88,RU,1684609539
199,pacific grove,36.6177,-121.9166,20.12,80,100,5.14,US,1684609539
200,shalya,57.2471,58.7298,10.16,48,3,1.55,RU,1684609540
201,arraial do cabo,-22.9661,-42.0278,23.98,69,0,5.66,BR,1684609366
202,novoazovs'k,47.1139,38.086,17.98,61,100,5.42,UA,1684609540
203,kone,-21.0595,164.8658,17.9,70,65,1.9,NC,1684609540
